ticker,sentiment,target,model,n,accuracy_insample,baseline_accuracy_insample,acc_minus_baseline_insample,pseudo_r2_mcfadden,llf,auc_insample,time_split_accuracy,time_split_baseline_accuracy,time_split_acc_minus_baseline,time_split_auc,time_split_n_train,time_split_n_test,walkforward_accuracy,walkforward_baseline_accuracy,walkforward_acc_minus_baseline,walkforward_auc,walkforward_n_predictions
NVDA,FB_net,fwd_5d,logit_level_plus_trend5,578,0.6072664359861591,0.6055363321799307,0.0017301038062284002,0.0017878737418284274,-386.97319028694733,0.5518922305764411,0.503448275862069,0.503448275862069,0.0,0.5386225266362252,433.0,145.0,0.5894736842105263,0.5894736842105263,0.0,0.5362007783882784,380.0
NVDA,FB_net,fwd_5d,logit_level_plus_trend10,573,0.6038394415357766,0.6020942408376964,0.0017452006980802626,0.004793703709430552,-383.29762272233006,0.5540172896008136,0.5,0.5,0.0,0.5516975308641975,429.0,144.0,0.584,0.584,0.0,0.5528626624517036,375.0
NVDA,FB_net,fwd_5d,logit_level_plus_trend15,568,0.6003521126760564,0.5985915492957746,0.0017605633802817433,0.0017432759325346492,-381.9256879241739,0.5488906088751291,0.49295774647887325,0.5070422535211268,-0.014084507042253502,0.5438492063492064,426.0,142.0,0.581081081081081,0.581081081081081,0.0,0.5222805701425357,370.0
NVDA,NRC_net,fwd_10d,logit_level_lag1,583,0.6535162950257289,0.6535162950257289,0.0,0.0005546767909946348,-375.967836536793,0.5187235258958967,0.5068493150684932,0.5068493150684932,0.0,0.4956831831831832,437.0,146.0,0.625974025974026,0.625974025974026,0.0,0.5623271092669433,385.0
NVDA,NRC_net,fwd_10d,logit_level_plus_trend5,578,0.6522491349480969,0.6505190311418685,0.0017301038062284002,0.005566352584211565,-371.95607534530524,0.5506504107857595,0.503448275862069,0.503448275862069,0.0,0.525875190258752,433.0,145.0,0.6210526315789474,0.6210526315789474,0.0,0.543255649717514,380.0
NVDA,NRC_net,fwd_10d,logit_level_plus_trend10,573,0.6474694589877836,0.6474694589877836,0.0,0.001426016666817298,-371.3461735236183,0.5363214218996024,0.5,0.5,0.0,0.44328703703703703,429.0,144.0,0.616,0.616,0.0,0.5448232323232323,375.0
NVDA,NRC_net,fwd_10d,logit_level_plus_trend15,568,0.6443661971830986,0.6443661971830986,0.0,0.0026595207018579314,-368.7078898297314,0.5358572742520153,0.49295774647887325,0.5070422535211268,-0.014084507042253502,0.5249999999999999,426.0,142.0,0.6216216216216216,0.6216216216216216,0.0,0.5316459627329193,370.0
NVDA,HF_net_4,fwd_10d,logit_level_lag1,583,0.6552315608919382,0.6535162950257289,0.0017152658662092923,0.007761194888706746,-373.2569138327268,0.5500376809334476,0.5068493150684932,0.5068493150684932,0.0,0.545045045045045,437.0,146.0,0.625974025974026,0.625974025974026,0.0,0.5901913324112494,385.0
NVDA,HF_net_4,fwd_10d,logit_level_plus_trend5,578,0.6522491349480969,0.6505190311418685,0.0017301038062284002,0.00730056741519669,-371.3074129191945,0.5497551084895723,0.503448275862069,0.503448275862069,0.0,0.5652587519025876,433.0,145.0,0.6210526315789474,0.6210526315789474,0.0,0.5756826741996234,380.0
NVDA,HF_net_4,fwd_10d,logit_level_plus_trend10,573,0.6492146596858639,0.6474694589877836,0.0017452006980802626,0.00722718881883766,-369.18885406951654,0.5482639908195671,0.5,0.5,0.0,0.554591049382716,429.0,144.0,0.616,0.616,0.0,0.5779521404521405,375.0
NVDA,HF_net_4,fwd_10d,logit_level_plus_trend15,568,0.6514084507042254,0.6443661971830986,0.007042253521126751,0.00928876754045016,-366.25711633386584,0.5566331223286263,0.49295774647887325,0.5070422535211268,-0.014084507042253502,0.5367063492063493,426.0,142.0,0.6216216216216216,0.6216216216216216,0.0,0.5749068322981365,370.0
NVDA,FB_net,fwd_10d,logit_level_lag1,583,0.6535162950257289,0.6535162950257289,0.0,0.0012424351579496395,-375.7091180063446,0.5328083989501312,0.5068493150684932,0.5068493150684932,0.0,0.49455705705705705,437.0,146.0,0.625974025974026,0.625974025974026,0.0,0.5712597971415398,385.0
NVDA,FB_net,fwd_10d,logit_level_plus_trend5,578,0.6505190311418685,0.6505190311418685,0.0,0.0031868744700495055,-372.8460908259899,0.5381425110596165,0.503448275862069,0.503448275862069,0.0,0.5490867579908676,433.0,145.0,0.6210526315789474,0.6210526315789474,0.0,0.5700623822975518,380.0
NVDA,FB_net,fwd_10d,logit_level_plus_trend10,573,0.6474694589877836,0.6474694589877836,0.0,0.0027802463915199693,-370.8425673464759,0.5481972725574444,0.5,0.5,0.0,0.5086805555555556,429.0,144.0,0.616,0.616,0.0,0.5608766233766234,375.0
NVDA,FB_net,fwd_10d,logit_level_plus_trend15,568,0.6443661971830986,0.6443661971830986,0.0,0.0023776910709707444,-368.81207973343317,0.5337742790672511,0.49295774647887325,0.5070422535211268,-0.014084507042253502,0.49801587301587297,426.0,142.0,0.6216216216216216,0.6216216216216216,0.0,0.5503726708074534,370.0
NVDA,NRC_net,fwd_15d,logit_level_lag1,583,0.6655231560891939,0.6655231560891939,0.0,0.0010286349082456736,-371.16595655978335,0.49573090140100445,0.4520547945205479,0.547945205479452,-0.0958904109589041,0.4692234848484849,437.0,146.0,0.625974025974026,0.625974025974026,0.0,0.6085465652374366,385.0
NVDA,NRC_net,fwd_15d,logit_level_plus_trend5,578,0.6626297577854672,0.6626297577854672,0.0,0.0013698456443972384,-368.99522150599637,0.49897569793131147,0.4482758620689655,0.5517241379310345,-0.10344827586206895,0.4671153846153846,433.0,145.0,0.6210526315789474,0.6210526315789474,0.0,0.5942796610169492,380.0
NVDA,NRC_net,fwd_15d,logit_level_plus_trend10,573,0.6596858638743456,0.6596858638743456,0.0,0.001971307551090984,-366.7082731875206,0.5158594491927826,0.4513888888888889,0.5486111111111112,-0.09722222222222227,0.4640701071080818,429.0,144.0,0.616,0.616,0.0,0.5837241462241463,375.0
NVDA,NRC_net,fwd_15d,logit_level_plus_trend15,568,0.6566901408450704,0.6566901408450704,0.0,0.0027004225436927376,-364.3547255172267,0.5150202790953461,0.4507042253521127,0.5492957746478874,-0.09859154929577468,0.4963942307692307,426.0,142.0,0.6243243243243243,0.6243243243243243,0.0,0.5636114485035348,370.0
NVDA,HF_net_4,fwd_15d,logit_level_lag1,583,0.6638078902229846,0.6655231560891939,-0.0017152658662092923,0.00322977935661084,-370.3481254254258,0.5520354216230505,0.4520547945205479,0.547945205479452,-0.0958904109589041,0.47310606060606064,437.0,146.0,0.625974025974026,0.625974025974026,0.0,0.6366413093591516,385.0
NVDA,HF_net_4,fwd_15d,logit_level_plus_trend5,578,0.6608996539792388,0.6626297577854672,-0.0017301038062284002,0.0028515674246956113,-368.4477232613792,0.549481154180893,0.4482758620689655,0.5517241379310345,-0.10344827586206895,0.5046153846153847,433.0,145.0,0.6210526315789474,0.6210526315789474,0.0,0.6304143126177024,380.0
NVDA,HF_net_4,fwd_15d,logit_level_plus_trend10,573,0.6561954624781849,0.6596858638743456,-0.003490401396160636,0.004003823303747933,-365.9614606484398,0.559367792701126,0.4513888888888889,0.5486111111111112,-0.09722222222222227,0.46660175267770204,429.0,144.0,0.616,0.616,0.0,0.6231361231361231,375.0
NVDA,HF_net_4,fwd_15d,logit_level_plus_trend15,568,0.6549295774647887,0.6566901408450704,-0.0017605633802816323,0.008879345482653789,-362.09730976943365,0.5694095002405994,0.4507042253521127,0.5492957746478874,-0.09859154929577468,0.5046073717948718,426.0,142.0,0.6243243243243243,0.6243243243243243,0.0,0.6216948519106793,370.0
NVDA,FB_net,fwd_15d,logit_level_lag1,583,0.6655231560891939,0.6655231560891939,0.0,0.00024345486723220677,-371.4576887466891,0.4977266719534761,0.4520547945205479,0.547945205479452,-0.0958904109589041,0.39791666666666664,437.0,146.0,0.625974025974026,0.625974025974026,0.0,0.626210235131397,385.0
NVDA,FB_net,fwd_15d,logit_level_plus_trend5,578,0.6626297577854672,0.6626297577854672,0.0,0.0036678579399429534,-368.1461027884011,0.5509138381201044,0.4482758620689655,0.5517241379310345,-0.10344827586206895,0.469423076923077,433.0,145.0,0.6210526315789474,0.6210526315789474,0.0,0.6232050376647834,380.0
NVDA,FB_net,fwd_15d,logit_level_plus_trend10,573,0.6596858638743456,0.6596858638743456,0.0,0.0026421610161614373,-366.46177975742273,0.5402523402523403,0.4513888888888889,0.5486111111111112,-0.09722222222222227,0.43972736124634854,429.0,144.0,0.616,0.616,0.0,0.6053391053391053,375.0
NVDA,FB_net,fwd_15d,logit_level_plus_trend15,568,0.6566901408450704,0.6566901408450704,0.0,0.001524753751310337,-364.7842458838554,0.5152540042620471,0.4507042253521127,0.5492957746478874,-0.09859154929577468,0.4597355769230769,426.0,142.0,0.6243243243243243,0.6243243243243243,0.0,0.6241552212775235,370.0
AMD,NRC_net,next_day,logit_level_lag1,588,0.5170068027210885,0.5051020408163265,0.011904761904761973,0.0038990519752547526,-405.9509100863895,0.5297418630751964,0.4897959183673469,0.5306122448979592,-0.04081632653061229,0.5114269788182833,441.0,147.0,0.5180412371134021,0.5051546391752577,0.012886597938144395,0.5253241921768708,388.0
AMD,NRC_net,next_day,logit_level_plus_trend5,583,0.5214408233276158,0.5025728987993139,0.018867924528301883,0.005731228841138414,-401.7811146846685,0.537495586677651,0.4931506849315068,0.5273972602739726,-0.03424657534246578,0.5111048371917937,437.0,146.0,0.5143603133159269,0.5039164490861618,0.010443864229765065,0.5190891737114808,383.0
