date,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative,net sentiment
10/16/2024,8.066666667,12.96666667,3.966666667,9,9.266666667,6.766666667,10.03333333,20.23333333,31.63333333,19.1,12.53333333
10/17/2024,5.53125,12.65625,2.46875,7.96875,8,5.25,6.375,18.28125,31,11.375,19.625
10/18/2024,5.037037037,12.44444444,2.574074074,7.740740741,6.12962963,6.37037037,4.814814815,16.31481481,26.48148148,15.05555556,11.42592593
10/19/2024,12.07692308,23.92307692,6.153846154,15.03846154,16.42307692,9.346153846,12.34615385,35.69230769,52.80769231,25.30769231,27.5
10/20/2024,8.928571429,14.42857143,2.785714286,7.785714286,10.07142857,6.214285714,9.5,21.89285714,32.5,15.03571429,17.46428571
10/21/2024,8.025641026,14.30769231,3.692307692,9,7.923076923,6.794871795,8.666666667,19.1025641,29.41025641,15.56410256,13.84615385
10/22/2024,10.77142857,16.4,4.657142857,12.6,9.142857143,9.228571429,10.45714286,23.31428571,34.65714286,20.6,14.05714286
10/23/2024,5.5,15.14285714,2.619047619,7.261904762,9.19047619,6.142857143,6.452380952,16.69047619,30.57142857,13.5,17.07142857
10/24/2024,7.975,16.15,3.475,8.7,11.175,7.125,9.075,20.75,36.725,17.3,19.425
10/25/2024,8.823529412,18.20588235,4.676470588,14,9.147058824,6.794117647,7.529411765,28.05882353,39.14705882,20.08823529,19.05882353
10/26/2024,8.615384615,12.30769231,3.576923077,10.57692308,7.846153846,6.538461538,11.38461538,20.61538462,31.92307692,16.19230769,15.73076923
10/27/2024,11.08,13.04,7.4,12,11.56,10,17.12,21.96,34.4,23.64,10.76
10/28/2024,10.6,16.8,5.566666667,11.73333333,11.83333333,8.966666667,11.2,19.5,35.7,22.5,13.2
10/29/2024,6.58974359,12.79487179,2.974358974,8.743589744,9.564102564,5.948717949,6.769230769,20.71794872,33.53846154,16,17.53846154
10/30/2024,7.962962963,13.81481481,3.814814815,9.666666667,8.259259259,6.666666667,10.37037037,20.85185185,32.7037037,15.74074074,16.96296296
10/31/2024,10.64864865,11.97297297,4.972972973,13.97297297,7.513513514,10.2972973,8.621621622,17.24324324,27.64864865,21.51351351,6.135135135
11/1/2024,13.6,17.53333333,6.4,16.13333333,8.833333333,12.13333333,14,36.33333333,47.16666667,31.43333333,15.73333333
11/2/2024,14.32,25.2,7.44,15.32,18.12,13.96,17.92,38.36,55.12,30.12,25
11/3/2024,12.6,20,6.04,15.44,14.2,9.72,12.24,31.84,48.56,25.92,22.64
11/4/2024,12.21212121,16.60606061,5.484848485,13.6969697,7.666666667,7.939393939,10.93939394,21,32.09090909,19.78787879,12.3030303
11/5/2024,10.67741935,15.38709677,3.64516129,10.80645161,8.322580645,8.322580645,12.48387097,21.64516129,31.16129032,19.48387097,11.67741935
11/6/2024,6.904761905,15.78571429,3.833333333,11.26190476,11.4047619,9.023809524,16.85714286,26.35714286,41.88095238,25.11904762,16.76190476
11/7/2024,11.21875,21.375,6.875,15.3125,13.65625,10.8125,18.03125,36.59375,52.59375,28.5625,24.03125
11/8/2024,7.655172414,11.72413793,4.310344828,10.96551724,7.793103448,8.724137931,10.03448276,18.79310345,28.20689655,22.55172414,5.655172414
11/9/2024,9.185185185,16.77777778,5.148148148,11.2962963,13.2962963,7.37037037,14.55555556,27,43.33333333,18.2962963,25.03703704
11/10/2024,10.11111111,17.81481481,4.925925926,13.85185185,12.2962963,7.037037037,15,31.66666667,45.81481481,23.77777778,22.03703704
11/11/2024,5.875,14.15625,2.1875,8.625,9.46875,4.40625,10.3125,24.09375,36.375,14.875,21.5
11/12/2024,9.4375,16.09375,4.0625,11.8125,10.625,8.03125,12,26.875,40.09375,21.0625,19.03125
11/13/2024,8.216216216,13.91891892,4.891891892,13.32432432,7.972972973,8.108108108,9.486486486,25.45945946,36.51351351,20.75675676,15.75675676
11/14/2024,9.483870968,18.74193548,5.419354839,13.64516129,11.25806452,8.322580645,11.96774194,32.83870968,47.22580645,24.03225806,23.19354839
11/15/2024,8.157894737,14.26315789,3.605263158,9.5,8.342105263,5.552631579,8.078947368,26.86842105,39.47368421,16.02631579,23.44736842
